,id,statuses_count,followers_count,friends_count,favourites_count,listed_count,url,default_profile,default_profile_image,geo_enabled,profile_image_url,profile_use_background_image,profile_background_image_url_https,profile_image_url_https,profile_background_tile,profile_background_image_url,is_translator,follow_request_sent,protected,verified,notifications,description,contributors_enabled,following_x,ff_ratio,age,following_rate,tweet_rate,mobile_ratio,website_ratio,third_ratio,other_ratio,label
0,3301875373,844,47,716,765,5,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,19,0,0,15.23404255,657,1.089802131,9.93902439,0,1,0,0,fake_users
1,3169917217,20,20,940,24,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,4,0,0,47,754,1.24668435,None,No tweets,No tweets,No tweets,No tweets,fake_users
2,2489408846,1060,21,396,948,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,17,0,0,18.85714286,1102,0.359346642,15.1884058,0,1,0,0,fake_users
3,2418101186,69,12,487,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,9,0,0,40.58333333,1145,0.425327511,2.555555556,0,1,0,0,fake_users
4,2500271185,2832,25,672,2508,49,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,19,0,0,26.88,1096,0.613138686,18.36842105,0,1,0,0,fake_users
5,7.08123E+17,1437,42,485,1309,16,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,35,0,0,11.54761905,432,1.122685185,12.46491228,0,1,0,0,fake_users
6,2242468778,989,20,642,850,18,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,7,0,0,32.1,1252,0.512779553,13.38356164,0,1,0,0,fake_users
7,3204379137,69,18,1054,64,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,22,0,0,58.55555556,753,1.399734396,1.916666667,0,1,0,0,fake_users
8,3199503292,30,14,1082,19,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,6,0,0,77.28571429,755,1.433112583,None,No tweets,No tweets,No tweets,No tweets,fake_users
9,3323141609,21,27,1063,18,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,23,0,0,39.37037037,704,1.509943182,1,0,1,0,0,fake_users
10,3203249045,27,18,1042,21,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,20,0,0,57.88888889,753,1.383798141,1.086956522,0,1,0,0,fake_users
11,2573584507,2598,27,546,2300,37,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,24,0,0,20.22222222,1065,0.512676056,17.79861111,0,1,0,0,fake_users
12,2249386086,1111,117,1194,925,12,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,23,0,0,10.20512821,1248,0.956730769,8.669291339,0,1,0,0,fake_users
13,3258132036,846,20,673,777,21,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,16,0,0,33.65,690,0.975362319,13.62295082,0,1,0,0,fake_users
14,2594225119,929,28,724,886,4,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,29,0,0,25.85714286,1053,0.687559354,None,No tweets,No tweets,No tweets,No tweets,fake_users
15,3173768984,27,25,1088,11,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,14,0,0,43.52,753,1.444887118,None,No tweets,No tweets,No tweets,No tweets,fake_users
16,2776574759,1277,21,691,1184,23,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,21,0,0,32.9047619,971,0.711637487,None,No tweets,No tweets,No tweets,No tweets,fake_users
17,2342412056,1312,20,657,1154,15,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,13,0,0,32.85,1189,0.552565181,11.81481481,0,1,0,0,fake_users
18,3204980578,54,15,1067,60,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,4,0,0,71.13333333,753,1.416998672,1.5,0,1,0,0,fake_users
19,3346615941,30,13,865,18,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,23,0,0,66.53846154,691,1.251808973,1.181818182,0,1,0,0,fake_users
20,3356721047,321,12,705,277,4,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,18,0,0,58.75,684,1.030701754,10.35714286,0,1,0,0,fake_users
21,2381432557,16,17,389,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,4,0,0,22.88235294,1164,0.33419244,None,No tweets,No tweets,No tweets,No tweets,fake_users
22,2563024921,1022,24,399,912,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,12,0,0,16.625,1070,0.372897196,16.0952381,0,1,0,0,fake_users
23,3250959151,1504,56,710,1296,25,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,24,0,0,12.67857143,697,1.018651363,12.25210084,0,1,0,0,fake_users
24,2519097283,1256,23,617,1163,18,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,20,0,0,26.82608696,1089,0.566574839,11.36792453,0,1,0,0,fake_users
25,3359775701,2408,29,875,2125,39,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,14,0,0,30.17241379,682,1.282991202,16.55862069,0,1,0,0,fake_users
26,3334542921,35,8,930,28,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,19,0,0,116.25,698,1.332378224,1.206896552,0,1,0,0,fake_users
27,3205647855,64,21,1106,60,3,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,23,0,0,52.66666667,753,1.468791501,1.333333333,0,1,0,0,fake_users
28,2409431970,1550,28,1201,1395,19,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,22,0,0,42.89285714,1150,1.044347826,10.28472222,0,1,0,0,fake_users
29,2982639281,11,7,349,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,23,0,0,49.85714286,851,0.410105758,None,No tweets,No tweets,No tweets,No tweets,fake_users
30,7.02817E+17,1493,41,440,1335,17,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,13,0,0,10.73170732,447,0.984340045,13.64166667,0,1,0,0,fake_users
31,3205320328,67,17,1200,68,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,12,0,0,70.58823529,753,1.593625498,1.763157895,0,1,0,0,fake_users
32,3183319706,166,25,995,108,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,2,0,0,39.8,746,1.333780161,None,No tweets,No tweets,No tweets,No tweets,fake_users
33,2558509554,38,17,602,14,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,20,0,0,35.41176471,1072,0.561567164,6.727272727,0,1,0,0,fake_users
34,3207329248,645,27,1200,465,4,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,25,0,0,44.44444444,753,1.593625498,8.55,0,1,0,0,fake_users
35,3352226752,116,8,431,81,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,2,0,0,53.875,687,0.627365357,5,0,1,0,0,fake_users
36,2397183571,1227,17,664,1075,11,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,3,0,0,39.05882353,1155,0.574891775,11.83,0,1,0,0,fake_users
37,2394739177,549,196,1194,446,8,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,19,0,0,6.091836735,1157,1.031979257,6.247058824,0,1,0,0,fake_users
38,3437529573,17,19,810,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,9,0,0,42.63157895,632,1.28164557,1.0625,0,1,0,0,fake_users
