,id,friends_count,favourites_count,listed_count,url,default_profile,default_profile_image,geo_enabled,profile_image_url,profile_use_background_image,profile_background_image_url_https,profile_image_url_https,profile_background_tile,profile_background_image_url,is_translator,follow_request_sent,protected,verified,notifications,description,contributors_enabled,followers_count,following,statuses_count,ff_ratio,age,following_rate,tweet_rate,mobile_ratio,website_ratio,third_ratio,other_ratio,bidirectional_links,eigenvector,pagerank,reputation,url_ratio,url_unique_ratio,hashtag_ratio,username_ratio,username_unique_ratio,similarity_ratio_1,similarity_ratio_2,Unnamed: 0,tweet_time_sum,tweet_time_mean,tweet_time_max,tweet_time_min,no_tweet,label,label_model
0,3335530942,978.0,14.0,0.0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,25,0,23.0,978.0,20.0,42.5217391304,698.0,1.40114613181,1.13333333333,0.0,1.0,0.0,0.0,0.00301810865191,0.0,5.80022266574e-07,0.0216535433071,0.352941176471,0.117647058824,0.470588235294,1.0,3.76470588235,0.133435582822,0.0188162632071,3244,8941125.0,558820.3125,2016443.0,29153.0,0,fake_users,Fake
1,2349210103,318.0,589.0,5.0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,17,0,11.0,318.0,677.0,28.9090909091,1185.0,0.26835443038,12.0,0.0,1.0,0.0,0.0,0.00892857142857,0.0,4.04837876416e-07,0.042735042735,0.09,0.015,0.6,1.0,0.105,0.193214834877,0.00513769755289,2921,6111079.0,30708.9396985,2822841.0,9.0,0,fake_users,Fake
2,2860996816,391.0,556.0,1.0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,3,0,14.0,391.0,611.0,27.9285714286,925.0,0.422702702703,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,3.79811534965e-07,0.0319634703196,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,343,-1.0,-1.0,-1.0,-1.0,1,fake_users,Fake
3,2387568199,543.0,574.0,15.0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,14,0,18.0,543.0,672.0,30.1666666667,1161.0,0.467700258398,11.0666666667,0.0,1.0,0.0,0.0,0.0,0.0,4.79916900769e-07,0.030612244898,0.085,0.015,0.55,1.0,0.15,0.210564894323,0.00668326476436,2998,20120543.0,101108.256281,5297853.0,9.0,0,fake_users,Fake
4,2355853460,1436.0,327.0,7.0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,17,0,126.0,1436.0,427.0,11.3968253968,1180.0,1.21694915254,4.71111111111,0.0,1.0,0.0,0.0,0.00271002710027,0.0,2.98255104589e-06,0.0740276035132,0.055,0.01,0.25,1.0,0.175,0.176121437945,0.0489264162779,2942,50546940.0,254004.723618,6889043.0,12.0,0,fake_users,Fake
5,3169050253,1012.0,29.0,0.0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,11,0,17.0,1012.0,32.0,59.5294117647,755.0,1.34039735099,1.33333333333,0.0,1.0,0.0,0.0,0.000972762645914,0.0,4.54890559318e-07,0.0162679425837,0.25,0.125,0.25,1.0,1.28125,0.171534437663,0.0477538497647,3227,19191606.0,619084.064516,6251522.0,21.0,0,fake_users,Fake
6,2259001550,591.0,195.0,5.0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,20,0,8.0,591.0,269.0,73.875,1241.0,0.476228847703,5.95555555556,0.0,1.0,0.0,0.0,0.00157480314961,0.0,1.54574461904e-07,0.0078125,0.07,0.01,0.35,1.0,0.12,0.191600330674,0.00649064901619,2859,25179452.0,126529.909548,6395814.0,11.0,0,fake_users,Fake
7,2637904436,813.0,1568.0,39.0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,20,0,22.0,813.0,1711.0,36.9545454545,1039.0,0.782483156882,11.1655629139,0.0,1.0,0.0,0.0,0.00235017626322,0.0,6.30074949476e-07,0.0274285714286,0.075,0.01,0.55,1.0,0.12,0.190435355716,0.00531878088729,3089,20173919.0,101376.477387,10441321.0,8.0,0,fake_users,Fake
8,2548536728,1316.0,26.0,0.0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,19,0,19.0,1316.0,71.0,69.2631578947,1077.0,1.22191272052,1.42857142857,0.0,1.0,0.0,0.0,0.00148148148148,0.0,4.29864217867e-07,0.0117130307467,0.185714285714,0.0142857142857,0.55,1.0,0.471428571429,0.133788315585,0.0116834866678,3060,54894073.0,795566.275362,6491089.0,20.0,0,fake_users,Fake
9,2738083880,671.0,636.0,19.0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,21,0,22.0,671.0,674.0,30.5,1005.0,0.667661691542,-1.0,-1.0,-1.0,-1.0,-1.0,0.0058651026393,0.0,6.05048608025e-07,0.0326241134752,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,279,-1.0,-1.0,-1.0,-1.0,1,fake_users,Fake
10,2605998408,723.0,0.0,0.0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,5,0,10.0,723.0,14.0,72.3,1047.0,0.690544412607,1.4,0.0,1.0,0.0,0.0,0.0,0.0,2.7970616916e-07,0.0135135135135,0.428571428571,0.0714285714286,0.428571428571,0.714285714286,1.14285714286,0.165680473373,0.00179449798006,3082,37334498.0,2871884.46154,12259021.0,18.0,0,fake_users,Fake
11,2475291576,719.0,1194.0,7.0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,10,0,20.0,719.0,1292.0,35.95,1110.0,0.647747747748,11.7592592593,0.0,1.0,0.0,0.0,0.00401069518717,0.0,4.79916900769e-07,0.023498694517,0.07,0.005,0.35,1.0,0.11,0.183970165292,0.00617770806691,3025,2016656.0,10133.9497487,1230503.0,6.0,0,fake_users,Fake
12,2193644060,295.0,0.0,1.0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,16,0,10.0,295.0,53.0,29.5,1280.0,0.23046875,4.64285714286,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0230769230769,0.3,1.0,0.115384615385,0.139328643613,0.00588224286525,2818,35584553.0,275849.248062,22766716.0,9.0,0,fake_users,Fake
13,3205212369,1052.0,47.0,1.0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,13,0,18.0,1052.0,57.0,58.4444444444,753.0,1.39707835325,1.64705882353,0.0,1.0,0.0,0.0,0.0018691588785,0.0,5.0494324222e-07,0.0174471992654,0.160714285714,0.0714285714286,0.2,1.0,1.05357142857,0.181881203718,0.0413107465848,3231,18099628.0,329084.145455,4997090.0,6.0,0,fake_users,Fake
14,2383078340,664.0,1370.0,11.0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,10,0,41.0,664.0,1464.0,16.1951219512,1163.0,0.570937231298,13.7904761905,0.0,1.0,0.0,0.0,0.00294985250737,0.0,9.05364705439e-07,0.0490883590463,0.085,0.015,0.65,1.0,0.07,0.204324693072,0.00777108106897,2990,912666.0,4586.26130653,86928.0,2.0,0,fake_users,Fake
15,3309918435,728.0,0.0,0.0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,8,0,1.0,728.0,0.0,728.0,712.0,1.02247191011,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,5.44690960996e-08,0.00134228187919,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,405,-1.0,-1.0,-1.0,-1.0,1,fake_users,Fake
16,2382768337,641.0,614.0,19.0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,20,0,16.0,641.0,796.0,40.0625,1164.0,0.550687285223,11.3,0.0,1.0,0.0,0.0,0.00303490136571,0.0,3.79811534965e-07,0.0208023774146,0.075,0.01,0.4,0.85,0.14,0.181794300338,0.00599085433884,2988,14697646.0,73857.5175879,4051956.0,8.0,0,fake_users,Fake
17,3228586359,1068.0,616.0,2.0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,14,0,42.0,1068.0,677.0,25.4285714286,746.0,1.43163538874,8.5,0.0,1.0,0.0,0.0,0.00178094390027,0.0,1.03049641269e-06,0.0343938091144,0.075,0.005,0.55,1.0,0.14,0.186119358866,0.00842231923186,3237,42632626.0,214234.301508,14627505.0,17.0,0,fake_users,Fake
18,3154514494,1347.0,2256.0,40.0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,18,0,49.0,1347.0,2614.0,27.4897959184,768.0,1.75390625,10.3886639676,0.0,1.0,0.0,0.0,0.0043795620438,0.0,1.28075982721e-06,0.0352112676056,0.065,0.005,0.5,1.0,0.155,0.193909093228,0.00624107157904,3217,29031385.0,145886.356784,7904665.0,10.0,0,fake_users,Fake
19,2297467772,575.0,479.0,17.0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,12,0,17.0,575.0,517.0,33.8235294118,1215.0,0.473251028807,8.71186440678,0.0,1.0,0.0,0.0,0.00165289256198,0.0,4.54890559318e-07,0.0273311897106,0.065,0.005,0.45,1.0,0.135,0.19219486012,0.00618429586582,2888,22535508.0,113243.758794,6246539.0,10.0,0,fake_users,Fake
20,3228341878,371.0,392.0,5.0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,10,0,15.0,371.0,428.0,24.7333333333,746.0,0.497319034853,11.6111111111,0.0,1.0,0.0,0.0,0.00252525252525,0.0,4.04837876416e-07,0.036496350365,0.045,0.005,0.6,1.0,0.175,0.188448703466,0.00756739949953,3236,6557962.0,32954.5829146,5287204.0,8.0,0,fake_users,Fake
21,3346345227,609.0,1258.0,7.0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,20,0,25.0,609.0,1391.0,24.36,691.0,0.881331403763,12.6074766355,0.0,1.0,0.0,0.0,0.00159489633174,0.0,6.55101290927e-07,0.0383435582822,0.06,0.005,0.4,1.0,0.19,0.1898004704,0.00634994284316,3246,1214546.0,6103.24623116,75190.0,6.0,0,fake_users,Fake
