,id,user_name,screen_name,statuses_count,followers_count,friends_count,favourites_count,listed_count,url,lang,time_zone,location,default_profile,default_profile_image,geo_enabled,profile_image_url,profile_use_background_image,profile_background_image_url_https,profile_text_color,profile_image_url_https,profile_sidebar_border_color,profile_background_tile,profile_sidebar_fill_color,profile_background_image_url,profile_background_color,profile_link_color,utc_offset,is_translator,follow_request_sent,protected,verified,notifications,description,contributors_enabled,following,created_at,label
1899,703279075268435969,Zeak Naifeh,znaefhi,988.0,39.0,494.0,841.0,2.0,https://t.co/w3mIC3HcLM,en,Pacific Time (US & Canada),"north collins, new york",False,False,False,http://pbs.twimg.com/profile_images/737747130937278464/R5mf5L9K_normal.jpg,False,https://abs.twimg.com/images/themes/theme1/bg.png,000000,https://pbs.twimg.com/profile_images/737747130937278464/R5mf5L9K_normal.jpg,000000,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,000000,981CEB,-25200.0,False,False,False,False,False,"Student affairs professional, friend, sports lover, event planner, volunteer, & fun seeker! Proud  Aggie, ECU Tiger, & Razorback!  #SAunicorn founding member!",False,False,2016-02-26 18:02:52,fake_users
1735,2360082438,Brian G. Burns,JHoeyq,1106.0,843.0,1286.0,993.0,4.0,,en,,Greater New York City Area,False,False,False,http://pbs.twimg.com/profile_images/580076229987971072/9oiUJQjp_normal.jpg,True,https://abs.twimg.com/images/themes/theme11/bg.gif,362720,https://pbs.twimg.com/profile_images/580076229987971072/9oiUJQjp_normal.jpg,CC3366,True,E5507E,http://abs.twimg.com/images/themes/theme11/bg.gif,FF6699,B40B43,,False,False,False,False,False,"Co-Organizer TechConnect , Business Development, Event Planning, Silversmithing  Enthusiast (Jewelry Designer). Living GREEN!",False,False,2014-02-24 22:06:17,fake_users
888,2556385824,Elle,ElleCommIcn,351.0,94.0,757.0,249.0,3.0,http://t.co/9ejlUIz4xe,en,,New York,False,False,False,http://pbs.twimg.com/profile_images/613042004629528576/IT9PMLcE_normal.jpg,True,https://abs.twimg.com/images/themes/theme10/bg.gif,3D1957,https://pbs.twimg.com/profile_images/613042004629528576/IT9PMLcE_normal.jpg,65B0DA,True,7AC3EE,http://abs.twimg.com/images/themes/theme10/bg.gif,642D8B,FF0000,,False,False,False,False,False,"Elle Communications 2525 Northwest Expy, Oklahoma City, OK 73112 405--3553 https://t.co/RfsHFnd1oA … | One of the fastest growing marketing firms in  Oklahoma!",False,False,2014-06-09 08:17:33,fake_users
625,3336121659,Ian,activbnistol,26.0,25.0,1004.0,20.0,1.0,http://t.co/ECAPwzTTF4,en,,London,False,False,False,http://pbs.twimg.com/profile_images/613957736435421184/Md4ICX_P_normal.jpg,True,https://abs.twimg.com/images/themes/theme5/bg.gif,3E4415,https://pbs.twimg.com/profile_images/613957736435421184/Md4ICX_P_normal.jpg,829D5E,False,99CC33,http://abs.twimg.com/images/themes/theme5/bg.gif,352726,D02B55,,False,False,False,False,False,"Promote your organisation  FREE on Activ Bristol the only social media  site for Bristol, http://t.co/jp226I4DMM",False,False,2015-06-20 04:54:58,fake_users
151,2316022632,Laci,PierceThiacLe,1899.0,25.0,595.0,1621.0,17.0,,en,Pacific Time (US & Canada),North Dakota,False,False,False,http://pbs.twimg.com/profile_images/714720079926181890/dxrFooSq_normal.jpg,True,https://abs.twimg.com/images/themes/theme17/bg.gif,333333,https://pbs.twimg.com/profile_images/714720079926181890/dxrFooSq_normal.jpg,DBE9ED,False,E6F6F9,http://abs.twimg.com/images/themes/theme17/bg.gif,DBE9ED,CC3366,-25200.0,False,False,False,False,False,"Hi! I'm Laci  (: Vegetarian, bands, guitarist,  suck.",False,False,2014-01-28 20:17:31,fake_users
313,3332450464,Cash,CRDWOnniel,14.0,11.0,657.0,0.0,0.0,https://t.co/4arctcHFvD,en,,new york city/dc,False,False,False,http://pbs.twimg.com/profile_images/669703852464013312/XDfg6jyz_normal.jpg,True,https://abs.twimg.com/images/themes/theme5/bg.gif,3E4415,https://pbs.twimg.com/profile_images/669703852464013312/XDfg6jyz_normal.jpg,829D5E,False,99CC33,http://abs.twimg.com/images/themes/theme5/bg.gif,352726,D02B55,,False,False,False,False,False,"Looking to buy a cash registers? If so, please check us out online for all of your cash register  .",False,False,2015-06-18 10:44:36,fake_users
1286,3447801742,Wyatt,Wyatt_Sieks,2759.0,37.0,815.0,2406.0,51.0,,en,,Texas,False,False,False,http://pbs.twimg.com/profile_images/672463886461734912/WtLo64GL_normal.jpg,True,https://abs.twimg.com/images/themes/theme8/bg.gif,333333,https://pbs.twimg.com/profile_images/672463886461734912/WtLo64GL_normal.jpg,D9B17E,False,EADEAA,http://abs.twimg.com/images/themes/theme8/bg.gif,8B542B,9D582E,,False,False,False,False,False,If a professional Atlanta sports team doesn't win a  by the time I'm  30 i don't wanna live anymore,False,False,2015-08-26 14:23:28,fake_users
323,3169836318,ADP,NicolxSmith10,63.0,27.0,1083.0,52.0,0.0,http://t.co/utmTJvYQPD,en,,London,False,False,False,http://pbs.twimg.com/profile_images/603494335406039040/FqKBcrYb_normal.jpg,True,https://abs.twimg.com/images/themes/theme12/bg.gif,0C3E53,https://pbs.twimg.com/profile_images/603494335406039040/FqKBcrYb_normal.jpg,F2E195,False,FFF7CC,http://abs.twimg.com/images/themes/theme12/bg.gif,BADFCD,FF0000,,False,False,False,False,False,"Marketing Manager @ADP_UK, Expertise in #HCM #HR  #payroll, #Marketing, #demand generation, #thought leadership. My  are my world. Tweets are my own",False,False,2015-04-24 05:23:50,fake_users
1752,3306756465,HomeKey .,HomeKenycI,0.0,2.0,714.0,0.0,0.0,http://t.co/d2GOFn43kn,en,,"Toronto, ON, Canada",False,False,False,http://pbs.twimg.com/profile_images/617260961037094912/H-ZRRt_U_normal.jpg,True,https://abs.twimg.com/images/themes/theme13/bg.gif,333333,https://pbs.twimg.com/profile_images/617260961037094912/H-ZRRt_U_normal.jpg,EEEEEE,False,FFFFFF,http://abs.twimg.com/images/themes/theme13/bg.gif,B2DFDA,93A644,,False,False,False,False,False,"Greater Toronto Area's biggest reviews site for real estate .  The best way  to , rate and review real estate professionals.",False,False,2015-06-03 06:35:13,fake_users
73,1960942190,Brendan,GarciaBaat0335s,74.0,17.0,385.0,0.0,0.0,,en,Pacific Time (US & Canada),Alabama,False,False,False,http://pbs.twimg.com/profile_images/715362342037491712/zf-eWrrO_normal.jpg,True,https://abs.twimg.com/images/themes/theme5/bg.gif,3E4415,https://pbs.twimg.com/profile_images/715362342037491712/zf-eWrrO_normal.jpg,829D5E,False,99CC33,http://abs.twimg.com/images/themes/theme5/bg.gif,352726,D02B55,-25200.0,False,False,False,False,False,"Student Athlete at EHS. 'm 17, birthday april 6. Musician play drums  and guitar",False,False,2013-10-14 15:56:42,fake_users
1049,3183167557,Richard,Fusion_Potho,3281.0,37.0,1023.0,2950.0,16.0,http://t.co/lCwGPwYgTg,en,,Minnesota,False,False,False,http://pbs.twimg.com/profile_images/631687076166021120/L78z3REe_normal.jpg,True,https://abs.twimg.com/images/themes/theme2/bg.gif,663B12,https://pbs.twimg.com/profile_images/631687076166021120/L78z3REe_normal.jpg,C6E2EE,False,DAECF4,http://abs.twimg.com/images/themes/theme2/bg.gif,C6E2EE,1F98C7,,False,False,False,False,False,I am the president  of Fusion Photo PB and Fusion Entertainment.  We want the opportunity to capture your memories and provide DJ services  your event,False,False,2015-05-02 16:28:54,fake_users
2273,3350332347,Lucky Player,TheLuckyPlerya,1854.0,51.0,1080.0,1655.0,31.0,http://t.co/fw2sAFcaHM,en,,Nevada,False,False,False,http://pbs.twimg.com/profile_images/635896742634848256/xUQctKWb_normal.jpg,True,https://abs.twimg.com/images/themes/theme8/bg.gif,333333,https://pbs.twimg.com/profile_images/635896742634848256/xUQctKWb_normal.jpg,D9B17E,False,EADEAA,http://abs.twimg.com/images/themes/theme8/bg.gif,8B542B,9D582E,,False,False,False,False,False,The Most  Tasting Vodka.  5 times distilled. Made in France using 100% natural ingredients. Must be 21+ to interact. #SimplyExceptional,False,False,2015-06-29 05:33:07,fake_users
904,3366353530,Jeff,ejffkaplan,2656.0,40.0,997.0,2430.0,24.0,,en,,"sherman, CT, new york city",False,False,False,http://pbs.twimg.com/profile_images/634911909326655488/JGTtkl_j_normal.jpg,True,https://abs.twimg.com/images/themes/theme18/bg.gif,333333,https://pbs.twimg.com/profile_images/634911909326655488/JGTtkl_j_normal.jpg,EEEEEE,False,F6F6F6,http://abs.twimg.com/images/themes/theme18/bg.gif,ACDED6,038543,,False,False,False,False,False,Dad of  boy with autism; software support professional;  Doctor Who fan,False,False,2015-07-08 17:54:48,fake_users
2171,1625363485,Kris,christinem1ssaa,88.0,20.0,529.0,0.0,0.0,,en,,"joeyville, north carolina usa",False,False,False,http://pbs.twimg.com/profile_images/716606752565768194/31QGWyXg_normal.jpg,True,https://abs.twimg.com/images/themes/theme19/bg.gif,333333,https://pbs.twimg.com/profile_images/716606752565768194/31QGWyXg_normal.jpg,FFF8AD,False,F6FFD1,http://abs.twimg.com/images/themes/theme19/bg.gif,FFF04D,0099CC,,False,False,False,False,False,"author for epilepsy   children with brain disorders , musician cellist , singer composer",False,False,2013-07-27 12:13:23,fake_users
