,id,followers_count,following,statuses_count,ff_ratio,age,following_rate,tweet_rate
0,3301875373,47.0,716.0,844.0,15.2340425532,657.0,1.0898021309,9
1,3169917217,20.0,940.0,20.0,47.0,754.0,1.24668435013,None
2,2489408846,21.0,396.0,1060.0,18.8571428571,1102.0,0.359346642468,15
3,2418101186,12.0,487.0,69.0,40.5833333333,1145.0,0.425327510917,2
4,2500271185,25.0,672.0,2832.0,26.88,1096.0,0.613138686131,18
5,708123358437744644,42.0,485.0,1437.0,11.5476190476,432.0,1.12268518519,12
6,2242468778,20.0,642.0,989.0,32.1,1252.0,0.512779552716,13
7,3204379137,18.0,1054.0,69.0,58.5555555556,753.0,1.39973439575,1
8,3199503292,14.0,1082.0,30.0,77.2857142857,755.0,1.43311258278,None
9,3323141609,27.0,1063.0,21.0,39.3703703704,704.0,1.50994318182,1
10,3203249045,18.0,1042.0,27.0,57.8888888889,753.0,1.38379814077,1
11,2573584507,27.0,546.0,2598.0,20.2222222222,1065.0,0.512676056338,17
12,2249386086,117.0,1194.0,1111.0,10.2051282051,1248.0,0.956730769231,8
13,3258132036,20.0,673.0,846.0,33.65,690.0,0.975362318841,13
14,2594225119,28.0,724.0,929.0,25.8571428571,1053.0,0.687559354226,None
15,3173768984,25.0,1088.0,27.0,43.52,753.0,1.44488711819,None
16,2776574759,21.0,691.0,1277.0,32.9047619048,971.0,0.711637487127,None
17,2342412056,20.0,657.0,1312.0,32.85,1189.0,0.552565180824,11
18,3204980578,15.0,1067.0,54.0,71.1333333333,753.0,1.41699867198,1
19,3346615941,13.0,865.0,30.0,66.5384615385,691.0,1.2518089725,1
20,3356721047,12.0,705.0,321.0,58.75,684.0,1.03070175439,10
21,2381432557,17.0,389.0,16.0,22.8823529412,1164.0,0.334192439863,None
22,2563024921,24.0,399.0,1022.0,16.625,1070.0,0.372897196262,16
23,3250959151,56.0,710.0,1504.0,12.6785714286,697.0,1.01865136298,12
24,2519097283,23.0,617.0,1256.0,26.8260869565,1089.0,0.566574839302,11
25,3359775701,29.0,875.0,2408.0,30.1724137931,682.0,1.28299120235,16
26,3334542921,8.0,930.0,35.0,116.25,698.0,1.3323782235,1
27,3205647855,21.0,1106.0,64.0,52.6666666667,753.0,1.46879150066,1
28,2409431970,28.0,1201.0,1550.0,42.8928571429,1150.0,1.04434782609,10
29,2982639281,7.0,349.0,11.0,49.8571428571,851.0,0.410105757932,None
30,702816906730934272,41.0,440.0,1493.0,10.7317073171,447.0,0.984340044743,13
31,3205320328,17.0,1200.0,67.0,70.5882352941,753.0,1.59362549801,1
32,3183319706,25.0,995.0,166.0,39.8,746.0,1.33378016086,None
33,2558509554,17.0,602.0,38.0,35.4117647059,1072.0,0.561567164179,6
34,3207329248,27.0,1200.0,645.0,44.4444444444,753.0,1.59362549801,8
35,3352226752,8.0,431.0,116.0,53.875,687.0,0.627365356623,5
36,2397183571,17.0,664.0,1227.0,39.0588235294,1155.0,0.574891774892,11
37,2394739177,196.0,1194.0,549.0,6.09183673469,1157.0,1.0319792567,6
38,3437529573,19.0,810.0,17.0,42.6315789474,632.0,1.28164556962,1
39,3439019733,28.0,675.0,1806.0,24.1071428571,631.0,1.06973058637,11
40,2825384313,17.0,690.0,377.0,40.5882352941,948.0,0.727848101266,None
41,3171975138,23.0,1062.0,36.0,46.1739130435,753.0,1.41035856574,None
42,3347164013,30.0,821.0,768.0,27.3666666667,690.0,1.18985507246,8
43,2595268016,15.0,499.0,1202.0,33.2666666667,1053.0,0.473884140551,None
44,705765857960599554,22.0,575.0,2332.0,26.1363636364,439.0,1.30979498861,17
45,1237363393,25.0,377.0,22.0,15.08,1536.0,0.245442708333,1
46,2688986011,21.0,595.0,682.0,28.3333333333,1023.0,0.581622678397,10
47,3330290453,17.0,1033.0,17.0,60.7647058824,701.0,1.47360912981,1
48,3302504193,5.0,716.0,0.0,143.2,719.0,0.995827538248,None
49,3346345227,25.0,609.0,1391.0,24.36,691.0,0.881331403763,12
50,1311456667,542.0,464.0,22053.0,0.856088560886,1511.0,0.307081403044,11
51,2887479128,208.0,418.0,8022.0,2.00961538462,927.0,0.450916936354,None
52,548855295,623.0,553.0,6611.0,0.887640449438,1865.0,0.296514745308,4
53,2398614422,916.0,786.0,9608.0,0.85807860262,1154.0,0.681109185442,8
54,26203719,526.0,625.0,40734.0,1.18821292776,2976.0,0.21001344086,6
55,232804792,1504.0,2080.0,66333.0,1.3829787234,2328.0,0.893470790378,24
56,219404734,61.0,65.0,3053.0,1.06557377049,2366.0,0.0274725274725,2
