,id,url_unique_ratio,hashtag_ratio,username_ratio,username_unique_ratio,similarity_ratio_1,similarity_ratio_2
0,3301875373,0.075,0.6,1.0,0.1,0.205792052532,0.00522935669548
1,3169917217,0.45,0.4,1.0,1.7,0.187691450849,0.0229136585895
2,2489408846,0.05,0.35,1.0,0.115,0.198645322149,0.00581237540201
3,2418101186,0.173913043478,0.25,0.65,0.130434782609,0.112093328952,0.00548170670303
4,2500271185,0.05,0.2,1.0,0.065,0.186096609465,0.00757515621712
5,708123358437744644,0.1,0.3,1.0,0.1,0.207117200747,0.00746656246812
6,2242468778,0.085,0.4,1.0,0.09,0.18126457142,0.00868050505769
7,3204379137,0.0724637681159,0.5,1.0,0.623188405797,0.159417023514,0.0585585270205
8,3199503292,0.566666666667,0.25,1.0,0.8,0.180466652901,0.0324153696332
9,3323141609,0.4,0.3,1.0,1.1,0.183458646617,0.0308126039382
10,3203249045,0.28,0.45,1.0,2.0,0.210884353741,0.0429382599861
11,2573584507,0.085,0.5,1.0,0.075,0.194591045681,0.00639396386557
12,2249386086,0.085,0.75,0.95,0.085,0.189959489822,0.00790180771227
13,3258132036,0.09,0.6,1.0,0.115,0.209142661242,0.00539632787361
14,2594225119,None,None,None,None,None,None
15,3173768984,0.37037037037,0.3,1.0,1.48148148148,0.156850961538,0.0275195883311
16,2776574759,None,None,None,None,None,None
17,2342412056,0.085,0.55,1.0,0.115,0.202696250981,0.0073660149298
18,3204980578,0.156862745098,0.45,1.0,0.843137254902,0.165543859649,0.0299218255034
19,3346615941,0.423076923077,0.25,1.0,1.19230769231,0.145802047782,0.0852966734049
20,3356721047,0.085,0.45,0.95,0.1,0.187173117331,0.0147372653325
21,2381432557,0.588235294118,0.352941176471,0.705882352941,1.05882352941,0.0849358974359,0.00116260208094
22,2563024921,0.07,0.65,1.0,0.14,0.19521623125,0.00917184326543
23,3250959151,0.075,0.55,0.9,0.1,0.18664693273,0.00827147064399
24,2519097283,0.085,0.45,1.0,0.175,0.181896973698,0.00712016468809
25,3359775701,0.055,0.7,0.95,0.165,0.190779875609,0.00628832018935
26,3334542921,0.4,0.25,1.0,0.742857142857,0.167639574914,0.0475973325697
27,3205647855,0.1875,0.5,1.0,0.46875,0.173565157216,0.0319745836384
28,2409431970,0.07,0.4,1.0,0.14,0.189081967447,0.00636477371334
29,2982639281,0.454545454545,0.272727272727,0.545454545455,0.545454545455,0.108928571429,0.00608176007278
30,702816906730934272,0.09,0.35,1.0,0.09,0.183817785013,0.00678582208797
31,3205320328,0.119402985075,0.6,1.0,0.492537313433,0.191635178188,0.0334179190012
32,3183319706,0.0858895705521,0.35,1.0,0.128834355828,0.169466302063,0.00817165971447
33,2558509554,0.09,0.4,0.95,0.07,0.193967580566,0.00757517946051
34,3207329248,0.05,0.7,1.0,0.085,0.185419166126,0.0073499750993
35,3352226752,0.147826086957,0.55,0.95,0.15652173913,0.169429985219,0.00745509043117
