,id,user_name,screen_name,statuses_count,followers_count,friends_count,favourites_count,listed_count,url,lang,time_zone,location,default_profile,default_profile_image,geo_enabled,profile_image_url,profile_use_background_image,profile_background_image_url_https,profile_text_color,profile_image_url_https,profile_sidebar_border_color,profile_background_tile,profile_sidebar_fill_color,profile_background_image_url,profile_background_color,profile_link_color,utc_offset,is_translator,follow_request_sent,protected,verified,notifications,description,contributors_enabled,following,created_at
0,1612469616,Allen,pxibejs_pgv,1272,28,1658,1035,10,http://t.co/ZrZbkOJa8G,en,,Georgia,True,False,False,http://pbs.twimg.com/profile_images/378800000642975445/0d9d3a6bfc2bc1000d5d41974d502dbc_normal.jpeg,True,https://abs.twimg.com/images/themes/theme1/bg.png,333333,https://pbs.twimg.com/profile_images/378800000642975445/0d9d3a6bfc2bc1000d5d41974d502dbc_normal.jpeg,C0DEED,False,DDEEF6,http://abs.twimg.com/images/themes/theme1/bg.png,C0DEED,1DA1F2,,False,False,False,False,False,Husband. Dad. Salesman.  Learner. Out-of-the-box thinker. Entrepreneur..,False,False,2013-07-22 10:05:39
1,2250343435,Shawn,8VD6Y,9,19,380,0,0,,en,Pacific Time (US & Canada),"Coconut Creek, Florida",False,False,False,http://pbs.twimg.com/profile_images/707198051102953472/En003uXT_normal.jpg,True,https://abs.twimg.com/images/themes/theme8/bg.gif,333333,https://pbs.twimg.com/profile_images/707198051102953472/En003uXT_normal.jpg,D9B17E,False,EADEAA,http://abs.twimg.com/images/themes/theme8/bg.gif,8B542B,9D582E,-25200.0,False,False,False,False,False,"Guitarist,  Vengeance  You!!!",False,False,2013-12-17 12:32:16
2,2242372394,Jeffrey A.,jefygfr,24,28,723,0,0,https://t.co/V9jGQdHmb1,en,Pacific Time (US & Canada),Southwest Missouri,False,False,False,http://pbs.twimg.com/profile_images/705294463065841664/J_r9FjJ9_normal.jpg,True,https://abs.twimg.com/images/themes/theme17/bg.gif,333333,https://pbs.twimg.com/profile_images/705294463065841664/J_r9FjJ9_normal.jpg,DBE9ED,False,E6F6F9,http://abs.twimg.com/images/themes/theme17/bg.gif,DBE9ED,CC3366,-25200.0,False,False,False,False,False,"President,  American Birding Association. 
Avid natural history fan, part-time pop culture maven, photographer, musician, and",False,False,2013-12-12 13:29:44
3,2405042394,Toxic,Toxicghts1o9,2624,36,640,2406,16,,en,Pacific Time (US & Canada),Wyoming,False,False,False,http://pbs.twimg.com/profile_images/714166043363700736/rTdiw-T5_normal.jpg,True,https://abs.twimg.com/images/themes/theme5/bg.gif,3E4415,https://pbs.twimg.com/profile_images/714166043363700736/rTdiw-T5_normal.jpg,829D5E,False,99CC33,http://abs.twimg.com/images/themes/theme5/bg.gif,352726,D02B55,-25200.0,False,False,False,False,False,"19, Gamer, Drummer -  Just do what  the  makes you happy.",False,False,2014-03-22 21:06:48
4,3258724782,Total,TotalHighspede,377,18,838,306,1,http://t.co/GGIeHCMKq2,en,,"Dayton, Ohio",False,False,False,http://pbs.twimg.com/profile_images/635058439228538881/KwvqUcww_normal.jpg,True,https://abs.twimg.com/images/themes/theme5/bg.gif,3E4415,https://pbs.twimg.com/profile_images/635058439228538881/KwvqUcww_normal.jpg,829D5E,False,99CC33,http://abs.twimg.com/images/themes/theme5/bg.gif,352726,D02B55,,False,False,False,False,False,Total Highspeed specializes in business and residential high speed internet.  We provide fantastic service to  100 U.S. cities in Missouri and Arkansas.,False,False,2015-06-28 10:36:11
5,2394952022,Michael,michaelreesertg,726,23,538,712,0,https://t.co/ARb0Tkhpg3,en,Pacific Time (US & Canada),"Brunswick, Maine",False,False,False,http://pbs.twimg.com/profile_images/707645906246438912/txeg3jw__normal.jpg,True,https://abs.twimg.com/images/themes/theme19/bg.gif,333333,https://pbs.twimg.com/profile_images/707645906246438912/txeg3jw__normal.jpg,FFF8AD,False,F6FFD1,http://abs.twimg.com/images/themes/theme19/bg.gif,FFF04D,0099CC,-25200.0,False,False,False,False,False,Nominated guitarist   the year LA Music awards/recording artist.,False,False,2014-03-17 19:14:03
6,2525891048,Justin,bitobsonto,573,21,594,524,4,,en,Pacific Time (US & Canada),Massachusetts,False,False,False,http://pbs.twimg.com/profile_images/706629405007810560/0e5-3KBZ_normal.jpg,True,https://abs.twimg.com/images/themes/theme2/bg.gif,663B12,https://pbs.twimg.com/profile_images/706629405007810560/0e5-3KBZ_normal.jpg,C6E2EE,False,DAECF4,http://abs.twimg.com/images/themes/theme2/bg.gif,C6E2EE,1F98C7,-25200.0,False,False,False,False,False,"iZotopean. EDM Producer/DJ. follow  me and like my other pages!
Soundcloud: https://t.co/n0qmSAWBFy 
Facebook: https://t.co/EBlr5l8pvd",False,False,2014-05-26 21:29:16
7,2502972542,Anchalen,AnchalenicusM,1418,24,662,1258,32,https://t.co/NK7m0DjUUN,en,Pacific Time (US & Canada),Delaware,False,False,False,http://pbs.twimg.com/profile_images/712960317542629376/TQjIehr-_normal.jpg,True,https://abs.twimg.com/images/themes/theme16/bg.gif,333333,https://pbs.twimg.com/profile_images/712960317542629376/TQjIehr-_normal.jpg,BDDCAD,False,DDFFCC,http://abs.twimg.com/images/themes/theme16/bg.gif,9AE4E8,0084B4,-25200.0,False,False,False,False,False,Anchalen International Records is  a premier Dance/Jazz and Electronic Music Indie Record label. (A unit  Anchalen Music Industries U.S.A.),False,False,2014-05-18 01:14:43
8,2273055787,Karina,December103_102,340,14,633,237,10,,en,Pacific Time (US & Canada),"Napa, California, USA",False,False,False,http://pbs.twimg.com/profile_images/713512098094063616/jSv8GheQ_normal.jpg,True,https://abs.twimg.com/images/themes/theme17/bg.gif,333333,https://pbs.twimg.com/profile_images/713512098094063616/jSv8GheQ_normal.jpg,DBE9ED,False,E6F6F9,http://abs.twimg.com/images/themes/theme17/bg.gif,DBE9ED,CC3366,-25200.0,False,False,False,False,False,Just  Your Average 18 yr  Searchin' For Something To Call Mine. 719 Is H O M E  || Roll || Rave || EDM || REPEAT ||,False,False,2014-01-02 13:58:08
9,2244578712,Look 2,Look2Murderres,811,15,676,723,7,,en,Pacific Time (US & Canada),"Manhattan, New York",False,False,False,http://pbs.twimg.com/profile_images/714188015351029760/2jHozzy2_normal.jpg,True,https://abs.twimg.com/images/themes/theme12/bg.gif,0C3E53,https://pbs.twimg.com/profile_images/714188015351029760/2jHozzy2_normal.jpg,F2E195,False,FFF7CC,http://abs.twimg.com/images/themes/theme12/bg.gif,BADFCD,FF0000,-25200.0,False,False,False,False,False,Djs / Producers / Remixes  #EDM #MashUp #Soundcloud https://t.co/U26Cv7t8g8 …,False,False,2013-12-13 22:14:36
